,category,title,cash_price,store,link,created_at
24,notebooks,Notebook Bangho Max L5 Intel Core i5 1135G7 SSD 240Gb 8Gb 15.6...,582949.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-intel-core-i5-1135g7-ssd-240gb-8gb-15-6-w11.html,2023-08-28 13:20:35
25,notebooks,Notebook Lenovo V15 G2 i3 1115G4 8Gb 1Tb SSD M2 240Gb 15.6 Free,589990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i3-1115g4-8gb-1tb-ssd-m2-240gb-15-6-free.html,2023-08-28 13:20:35
26,notebooks,Notebook Bangho Max L5 i7 1165G7 SSD 480Gb 8Gb 15.6 FHD Free,605949.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l15-i7-1165g7-ssd-580gb-8gb-15-6-fhd-free.html,2023-08-28 13:20:35
27,notebooks,Notebook Bangho Bes T4 Intel Core i5 1021U 8Gb SSD 240Gb 14...,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-bengho-bes-t4-intel-core-i5-1021u-8gb-ssd-240gb-14-free.html,2023-08-28 13:20:35
28,notebooks,Notebook Dell Inspiron 3525 AMD Ryzen 5 5500U 8Gb SSD 256Gb...,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-3525-amd-ryzen-5-5500u-8gb-ssd-256gb-15-6-w11.html,2023-08-28 13:20:35
29,notebooks,Notebook HP 15-DY2054LA  i5 1135G7 8Gb SSD 256Gb 15.6 W11,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,2023-08-28 13:20:35
30,notebooks,"Notebook Asus X515EA i7 1165G7 8Gb SSD512Gb 15.6"" FHD Free",649990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i7-1165g7-8gb-ssd-512gb-15-6-free.html,2023-08-28 13:20:35
31,notebooks,Notebook Dell Inspiron 3520 Intel Core i5 1135G7 8Gb SSD 256Gb...,653519.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-3520-intel-core-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,2023-08-28 13:20:35
32,notebooks,Notebook HP 15TDW300 Intel Core i5 1135G7 8Gb SSD 256Gb 15.6 HD...,659649.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-15tdw300-intel-core-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,2023-08-28 13:20:35
33,notebooks,Notebook Dell Inspiron 3511 i5 1135G7 8Gb SSD 256Gb 15.6 Free,667329.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i5-1135g7-8gb-ssd-256gb-15-6-free.html,2023-08-28 13:20:35
34,notebooks,Notebook Bangho Max L5 i7 1165G7 SSD 480Gb 8Gb 15.6 FHD W11,674999.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-i7-1165g7-ssd-480gb-8gb-15-6-fhd-w11.html,2023-08-28 13:20:35
35,notebooks,Notebook Asus X515EA i7 1165G7 8Gb W SSD 512Gb 15.6 W11,689990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i7-1165g7-8gb-ssd-512gb-15-6-w11.html,2023-08-28 13:20:35
