id,category,title,cash_price,link,created_at
21,notebooks,"Notebook Asus X515EA Core i5 1135G7 16Gb Ssd M2 480Gb 15.6"" Win11#",$743.989,https://www.mexx.com.ar/productos-rubro/notebooks/45965-notebook-asus-x515ea-core-i5-1135g7-16gb-ssd-m2-480gb-15.6-win11#.html,2023-08-22 12:45:58
22,notebooks,"Notebook Asus X515EA Core i5 1135G7 16Gb Ssd M2 960Gb 15.6"" Win11#",$756.989,https://www.mexx.com.ar/productos-rubro/notebooks/45966-notebook-asus-x515ea-core-i5-1135g7-16gb-ssd-m2-960gb-15.6-win11#.html,2023-08-22 12:45:58
23,notebooks,"Notebook Asus X515EA Core i5 1135G7 24Gb Ssd M2 480Gb 15.6"" Win11#",$759.989,https://www.mexx.com.ar/productos-rubro/notebooks/45689-notebook-asus-x515ea-core-i5-1135g7-24gb-ssd-m2-480gb-15.6-win11#.html,2023-08-22 12:45:58
24,notebooks,"Notebook Asus X515EA Core i5 1135G7 24Gb Ssd M2 960Gb 15.6"" Win11#",$772.989,https://www.mexx.com.ar/productos-rubro/notebooks/45812-notebook-asus-x515ea-core-i5-1135g7-24gb-ssd-m2-960gb-15.6-win11#.html,2023-08-22 12:45:58
25,notebooks,"Notebook Asus X515EA Core i7 8Gb Ssd 512Gb 15.6"" ",$809.989,https://www.mexx.com.ar/productos-rubro/notebooks/43352-notebook-asus-x515ea-core-i7-8gb-ssd-512gb-15.6.html,2023-08-22 12:45:58
26,notebooks,"Notebook Asus X515EA Core i7 8Gb Ssd M2 960Gb 15.6"" #",$822.979,https://www.mexx.com.ar/productos-rubro/notebooks/43427-notebook-asus-x515ea-core-i7-8gb-ssd-m2-960gb-15.6-#.html,2023-08-22 12:45:58
27,notebooks,"Notebook Asus X515EA Core i7 12Gb Ssd 512Gb 15.6"" #",$821.979,https://www.mexx.com.ar/productos-rubro/notebooks/43426-notebook-asus-x515ea-core-i7-12gb-ssd-512gb-15.6-#.html,2023-08-22 12:45:58
28,notebooks,"Notebook Asus X515EA Core i7 12Gb Ssd M2 960Gb 15.6"" #",$834.979,https://www.mexx.com.ar/productos-rubro/notebooks/43429-notebook-asus-x515ea-core-i7-12gb-ssd-m2-960gb-15.6-#.html,2023-08-22 12:45:58
29,notebooks,"Notebook Asus X515EA Core i7 16Gb Ssd 512Gb 15.6"" #",$829.979,https://www.mexx.com.ar/productos-rubro/notebooks/44334-notebook-asus-x515ea-core-i7-16gb-ssd-512gb-15.6-#.html,2023-08-22 12:45:58
30,notebooks,"Notebook Asus X515EA Core i7 16Gb Ssd M2 960Gb 15.6"" #",$842.979,https://www.mexx.com.ar/productos-rubro/notebooks/44335-notebook-asus-x515ea-core-i7-16gb-ssd-m2-960gb-15.6-#.html,2023-08-22 12:45:58
31,notebooks,"Notebook Asus X515EA Core i7 24Gb Ssd 512Gb 15.6"" #",$845.979,https://www.mexx.com.ar/productos-rubro/notebooks/44336-notebook-asus-x515ea-core-i7-24gb-ssd-512gb-15.6-#.html,2023-08-22 12:45:58
32,notebooks,"Notebook Asus X515EA Core i7 24Gb Ssd M2 960Gb 15.6"" #",$858.979,https://www.mexx.com.ar/productos-rubro/notebooks/44337-notebook-asus-x515ea-core-i7-24gb-ssd-m2-960gb-15.6-#.html,2023-08-22 12:45:58
33,notebooks,"Notebook Asus X515EA Core i7-1165G7 8Gb Ssd 512Gb 15.6"" Win11",$949.999,https://www.mexx.com.ar/productos-rubro/notebooks/44640-notebook-asus-x515ea-core-i7-1165g7-8gb-ssd-512gb-15.6-win11.html,2023-08-22 12:45:58
