id,category,title,cash_price,link,created_at
38,notebooks,Notebook Lenovo V15 G2 i5 1135G7 8Gb SSD 256Gb 15.6 Free,$744029,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
39,notebooks,Notebook Asus X515EA i7 1165G7 8Gb SSD 512Gb 15.6 W11,$751689,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
40,notebooks,Notebook HP 15DY2033 Intel Core i7 1165G7 8Gb SSD 256Gb 15.6...,$751689,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
41,notebooks,Notebook XPG Xenia 14 i5 1135G7 Iris XE SSD 512Gb NVME 16Gb 14...,$759389,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
42,notebooks,Notebook Lenovo L15 G3 Ryzen 5 5625U 8Gb SSD 256Gb 15.6 FHD...,$767039,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
43,notebooks,Notebook Asus Zenbook 14 UM425QA-KI164W Ryzen 5 5600H 8Gb SSD...,$797739,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
44,notebooks,Notebook Lenovo V15 G2 i5 1135G7 16Gb SSD 256Gb 15.6 Free,$797739,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
45,notebooks,Notebook Lenovo V15 G2 i7 1165G7 8Gb 1Tb 15.6 Free2,$813059,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
46,notebooks,Notebook Lenovo V15 G2 i7 1165G7 16Gb 1Tb SSD 240Gb 15.6 Free,$851409,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
47,notebooks,Notebook Lenovo Thinkpad L15 G3 Ryzen 7 5825U 8Gb SSD 512Gb...,$912779,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
48,notebooks,Notebook Bangho Game Master 15Z12 i5 12500H 16Gb 1Tb GTX 1650...,$920459,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
49,notebooks,Notebook Lenovo Thinkpad E15 G3 Ryzen 7 5700U 8Gb SSD 256Gb...,$989489,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
50,notebooks,Notebook Asus TUF Gaming F15 FX506LHB-HN324W i5 10300H SSD...,$994109,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
51,notebooks,Notebook Bangho Game MAster 15Z12 Core i5 12500H 16Gb 1Tb GTX...,$1012499,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
