category,title,cash_price,store,link,brand,model,processor,memory,storage,created_at
notebooks,Notebook Lenovo V15 G2 Ryzen 3 5300U 8Gb 1Tb Ssd M2 240Gb 15.6...,529990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-3-5300u-8gb-1tb-ssd-m2-240gb-15-6-free.html,Lenovo,82KD00CBAR,AMD Ryzen 3 5300U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo Ideapad 3 14Iml05 I5 10210U 8Gb Ssd 256Gb 14...,536929.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-3-14iml05-i5-10210u-8gb-ssd-256gb-14-w11.html,Lenovo,81WA00R7AR,Intel Core i5 10210U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Dell Inspiron 3525 Amd Ryzen 5 5500U 8Gb Ssd 256Gb...,549990.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-3525-amd-ryzen-5-5500u-8gb-ssd-256gb-15-6-w11.html,Dell,2DJ8R,AMD Ryzen 5 5500U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,"Notebook Asus X515Ea I5 1135G7 8Gb Ssd 256Gb 15.6"" Free",559990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i5-1135g7-8gb-ssd-512gb-15-6-free.html,Asus,90NB0TY1-M013N0,Intel Core i5 1135G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo V15 G2 I3 1115G4 8Gb 1Tb 15.6 Fhd Free,569990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i3-1115g4-8gb-1tb-15-6-free.html,Lenovo,82KB0152AR,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Samsung Galaxy Book 3 Core I5 1335U 8Gb 512Gb 15.6 Fhd...,569999.0,venex,https://www.venex.com.ar//notebooks/notebook-samsung-book-3-core-i5-8gb-512gb-silver-w11.html,Samsung,NP750XFG'KB2AR,Intel Core i5 1335U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo Ideapad 1 Ryzen 7 3700U 8Gb Ssd 512Gb 15.6 Free,575289.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-1-ryzen-7-3700u-8gb-ssd-512gb-14-free.html,Lenovo,82R1009YAR,AMD Ryzen 7 3700U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo V15 G2 I3 1115G4 8Gb 1Tb Ssd M2 240Gb 15.6 Free,589990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i3-1115g4-8gb-1tb-ssd-m2-240gb-15-6-free.html,Lenovo,82KB0152AR+,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Bes T4 Intel Core I5 1021U 8Gb Ssd 240Gb 14...,599990.0,venex,https://www.venex.com.ar//notebooks/notebook-bengho-bes-t4-intel-core-i5-1021u-8gb-ssd-240gb-14-free.html,Bangho,G42L5JFI4FDC230,Intel Core i5 1021U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Max L5 I7 1165G7 Ssd 480Gb 8Gb 15.6 Fhd W11,599990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-i7-1165g7-ssd-480gb-8gb-15-6-fhd-w11.html,Bangho,G52P7IFE51DC100,Intel Core i7 1165G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Dell Inspiron 3511 I5 1135G7 8Gb Ssd 256Gb 15.6 Free,599990.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i5-1135g7-8gb-ssd-256gb-15-6-free.html,Dell,6NGMJ,Intel Core i5 11355G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Dell Inspiron 3520 Intel Core I5 1135G7 8Gb Ssd 256Gb...,599990.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-3520-intel-core-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,Dell,VPYJY,Intel Core i5 1135G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Hp 15-Dy2054La  I5 1135G7 8Gb Ssd 256Gb 15.6 W11,613639.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,Hp,3A8V8LA#AC8,Intel Core i5 1135G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Dell Inspiron 3511 I5 1135G7 16Gb Ssd 256Gb 15.6 Free,619990.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i5-1135g7-16gb-ssd-256gb-15-6-free.html,Dell,I3511_I58256BUBS_522+8GB,Intel Core i5 11355G7,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,"Notebook Asus X515Ea I7 1165G7 8Gb Ssd512Gb 15.6"" Fhd Free",649990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i7-1165g7-8gb-ssd-512gb-15-6-free.html,Asus,90NB0TY1-M011U0,Intel Core i7 1165G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Hp 15Tdw300 Intel Core I5 1135G7 8Gb Ssd 256Gb 15.6 Hd...,659649.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-15tdw300-intel-core-i5-1135g7-8gb-ssd-256gb-15-6-w11.html,Hp,IA3Y3AV,Intel Core i5 1135G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Asus X515Ea I7 1165G7 8Gb W Ssd 512Gb 15.6 W11,689990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i7-1165g7-8gb-ssd-512gb-15-6-w11.html,Asus,90NB0TY1-M013M0,Intel Core i7 1165G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Hp Pavilon I5 1135G7 8Gb Ssd 256Gb + 16Gb Optane 13...,690329.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-pavilon-i5-1135g7-8gb-ssd-256gb-16gb-optane-13-fhd-w11.html,Hp,310D7LA#AC8,Intel Core i5 1135G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
