category,title,cash_price,link,store,created_at
notebooks,"Notebook Asus X515EA Core i5 1135G7 8Gb Ssd M2 960Gb 15.6"" Win11",620989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45687-notebook-asus-x515ea-core-i5-1135g7-8gb-ssd-m2-960gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 12Gb Ssd 256Gb 15.6"" Win11",562489.0,https://www.mexx.com.ar/productos-rubro/notebooks/45670-notebook-asus-x515ea-core-i5-1135g7-12gb-ssd-256gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 12Gb Ssd M2 480Gb 15.6"" Win11",584489.0,https://www.mexx.com.ar/productos-rubro/notebooks/45688-notebook-asus-x515ea-core-i5-1135g7-12gb-ssd-m2-480gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 12Gb Ssd M2 960Gb 15.6"" Win11",633489.0,https://www.mexx.com.ar/productos-rubro/notebooks/45756-notebook-asus-x515ea-core-i5-1135g7-12gb-ssd-m2-960gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 16Gb Ssd 256Gb 15.6"" Win11",569989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45964-notebook-asus-x515ea-core-i5-1135g7-16gb-ssd-256gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 16Gb Ssd M2 480Gb 15.6"" Win11",593989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45965-notebook-asus-x515ea-core-i5-1135g7-16gb-ssd-m2-480gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 16Gb Ssd M2 960Gb 15.6"" Win11",640989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45966-notebook-asus-x515ea-core-i5-1135g7-16gb-ssd-m2-960gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 24Gb Ssd M2 480Gb 15.6"" Win11",609989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45689-notebook-asus-x515ea-core-i5-1135g7-24gb-ssd-m2-480gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i5 1135G7 24Gb Ssd M2 960Gb 15.6"" Win11",656989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45812-notebook-asus-x515ea-core-i5-1135g7-24gb-ssd-m2-960gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 8Gb Ssd 512Gb 15.6"" ",649999.0,https://www.mexx.com.ar/productos-rubro/notebooks/43352-notebook-asus-x515ea-core-i7-8gb-ssd-512gb-15.6.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 8Gb Ssd M2 960Gb 15.6"" ",698989.0,https://www.mexx.com.ar/productos-rubro/notebooks/43427-notebook-asus-x515ea-core-i7-8gb-ssd-m2-960gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 12Gb Ssd 512Gb 15.6"" ",662489.0,https://www.mexx.com.ar/productos-rubro/notebooks/43426-notebook-asus-x515ea-core-i7-12gb-ssd-512gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 12Gb Ssd M2 960Gb 15.6"" ",711489.0,https://www.mexx.com.ar/productos-rubro/notebooks/43429-notebook-asus-x515ea-core-i7-12gb-ssd-m2-960gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 16Gb Ssd 512Gb 15.6"" ",669989.0,https://www.mexx.com.ar/productos-rubro/notebooks/44334-notebook-asus-x515ea-core-i7-16gb-ssd-512gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 16Gb Ssd M2 960Gb 15.6"" ",718989.0,https://www.mexx.com.ar/productos-rubro/notebooks/44335-notebook-asus-x515ea-core-i7-16gb-ssd-m2-960gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 24Gb Ssd 512Gb 15.6"" ",685989.0,https://www.mexx.com.ar/productos-rubro/notebooks/44336-notebook-asus-x515ea-core-i7-24gb-ssd-512gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7 24Gb Ssd M2 960Gb 15.6"" ",734989.0,https://www.mexx.com.ar/productos-rubro/notebooks/44337-notebook-asus-x515ea-core-i7-24gb-ssd-m2-960gb-15.6-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7-1165G7 8Gb Ssd 512Gb 15.6"" Win11",719999.0,https://www.mexx.com.ar/productos-rubro/notebooks/44640-notebook-asus-x515ea-core-i7-1165g7-8gb-ssd-512gb-15.6-win11.html,mexx,2023-09-04 10:43:22
